0_RfR 0,0_RfR 1,0_RfR 2,0_RfR 3,0_RfR 4,1_RfR 0,1_RfR 1,1_RfR 2,1_RfR 3,1_RfR 4,2_RfR 0,2_RfR 1,2_RfR 2,2_RfR 3,2_RfR 4,3_RfR 0,3_RfR 1,3_RfR 2,3_RfR 3,3_RfR 4,4_RfR 0,4_RfR 1,4_RfR 2,4_RfR 3,4_RfR 4,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_DikeIncrease 3,A.1_DikeIncrease 4,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_DikeIncrease 3,A.2_DikeIncrease 4,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_DikeIncrease 3,A.3_DikeIncrease 4,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.4_DikeIncrease 3,A.4_DikeIncrease 4,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.5_DikeIncrease 3,A.5_DikeIncrease 4,Total_period_Costs_0,Total_period_Costs_1,Expected Annual Damage A1_,Expected Annual Damage A2_,Expected Annual Damage A3_,Total Costs,Expected Number of Deaths_
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,1,0,0,4,0,0,0,1,7,0,0,0,0,188852179.86280516,2428829.409657885,0.0,0.0,4857352.139421802,220963195.27236357,0.0015764101575728214
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23676682.046532914,101879165.09033364,0.0,16233365.489625815,0.0,326654060.9982417,0.00738209849538749
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,1,0,37036056.32204701,12838023.870685628,0.0,20752558.998125575,0.0,478280131.30271083,0.047229930212203494
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,68067921.02272086,61747120.713054605,289579306.31606764,2378371.485918704,0.0,440556839.4576673,0.3275875221223086
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,64672062.931375295,95777977.82141975,138525835.5994886,2378371.485918704,0.0,356141675.296044,0.056539004533463125
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,64671184.13955808,144758044.04818237,115831722.52642706,1189185.742959352,0.0,375830098.8409474,0.18780848678961448
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62911857.63529086,45132086.84973879,0.0,26627050.74792818,823855.1757706844,274642342.1522839,0.15500477404466043
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67948160.05256508,25656654.398188785,0.0,10650820.299171273,4496720.710291547,323650162.75580925,0.14636629857911357
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,58634534.02302341,106477233.58612353,138525835.5994886,0.0,0.0,484668357.1590441,0.17431690717663925
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,7,3,2,4,0,0,0,0,53288528.52072329,18956400.05089148,0.0,15524814.533418324,30309321.858636327,324747071.8943683,0.10123700048404805
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,7,62162178.76878128,116885486.53593436,0.0,2041687.009588237,2849010.358750178,484416896.85308164,0.04985952418641755
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,2,0,0,4,0,0,3,3,0,4,0,0,3,97790594.65260552,33377116.55719709,0.0,0.0,0.0,494628048.8238287,0.021486810777781452
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,69079200.93257639,61747120.713054605,115831722.52642706,2378371.485918704,0.0,418180020.6641737,0.28713284694202384
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,68947166.16241485,62626365.852748595,115831722.52642706,1589203.2188941203,0.0,446419186.61806303,0.2862469206376062
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,7,0,0,44112554.711883776,6428948.44998202,0.0,26627050.74792818,1647710.3515413688,448305075.86313635,0.041971189612525314
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64671184.13955808,115521328.12412098,65480565.62090071,1189185.742959352,6998303.739813531,394008774.2285676,0.19084748464786705
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,58634534.02302341,128689225.50996108,57915861.26321353,0.0,596509.5093620915,438552800.18862975,0.07177838369958543
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29508360.393534288,75261722.67227185,0.0,7762407.266709162,11655509.059411399,369131843.83717185,0.15924511220528753
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,41245503.469509035,10893977.427129049,0.0,15976230.448756909,1647710.3515413688,428944835.54681474,0.04448834290102775
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,1,4,0,0,0,0,74011979.84620014,5368059.1513872,0.0,10735262.695760874,0.0,439155047.89268774,0.0017821883169799007
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,25656654.398188785,25656654.398188785,0.0,15976230.448756909,1647710.3515413688,425325323.9472982,0.14506066864875017
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,8,0,0,0,0,56595685.15381998,42531518.82170505,0.0,16233365.489625815,0.0,308586301.53166246,0.027733350710609395
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,7,0,0,3,0,0,0,64672996.64768109,139350648.72026822,115831722.52642706,1189185.742959352,0.0,371079574.72621673,0.01766942224987105
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,7,0,0,2,0,0,3,65782719.968927495,88958400.73540561,138525835.5994886,1589203.2188941203,0.0,434343037.3110159,0.020527640661125494
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,14366146.115423925,67627218.5737539,0.0,8488773.483114336,1193019.018724183,476607879.36726356,0.037807567689835946
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,74335071.99185362,61748613.99307551,289579306.31606764,5945928.71479676,0.0,404897346.16295946,0.0387276849797713
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71799866.04791057,29508360.393534288,0.0,38812036.33354581,23286026.597989347,251233307.62204775,0.21465796234463885
0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,4,6,0,3,0,0,0,0,44945038.834585905,189666572.0942316,0.0,5325410.149585636,823855.1757706844,334853775.37749624,0.03201254726040166
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,64671184.13955808,89607340.4003316,138525835.5994886,2378371.485918704,20994911.219440594,378393911.1697281,0.21271940215494353
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,65780790.76450623,134693118.7787066,115831722.52642706,308365.2338855522,0.0,390630944.6808771,0.17107080615468914
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,65780790.76450623,125080637.2017074,115831722.52642706,308365.2338855522,0.0,467385224.0487792,0.29253615728624094
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,66763563.63063637,29508360.393534288,0.0,38812036.33354581,23286026.597989347,255244589.3426833,0.17764692741806024
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,65780790.76450623,139349145.49666786,138525835.5994886,308365.2338855522,0.0,389511850.35859907,0.16472043893515792
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,47191284.64206329,19911411.9635262,0.0,15524814.533418324,9314410.639195738,329376152.0964634,0.055410992020393124
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,2,57033716.74958401,12420538.925704781,0.0,19279167.127557892,30309321.858636327,313526659.7458737,0.012679158948948454
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,1,3,0,0,6,0,0,1,0,3,0,0,1,0,91378755.0208907,25624697.776906326,0.0,11623293.050294288,823855.1757706844,363812979.86733687,0.023167555682650002
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,3,0,0,5,0,0,0,0,60165986.45225374,43120538.925704785,0.0,25522954.982305154,9314410.639195738,298998244.67320955,0.0071529796777475944
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,0,5,0,0,0,0,3,6,7,0,3,0,1,0,64672062.931375295,139349874.3323529,115831722.52642706,1189185.742959352,0.0,449793860.98151845,0.04941442053691489
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,1,1,0,2,0,0,0,25656654.398188785,39496889.934495375,0.0,16775881.327935986,1647710.3515413688,400321553.90789413,0.08562188428138359
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,7,0,0,0,1,3,49050279.193159126,24852246.741797738,0.0,38812036.33354581,0.0,410579358.6114527,0.043107726519255526
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,3,29508360.393534288,47191284.64206329,0.0,19279167.127557892,16337705.89984272,343392036.545667,0.09834282736239083
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,64671184.13955808,114058044.0481824,138525835.5994886,1189185.742959352,0.0,387658463.5828334,0.1871329210039732
0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,3,14366146.115423925,80773599.2332674,0.0,10878362.066089917,1193019.018724183,470591296.0154727,0.057864192623465385
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,3,66215344.48508227,117550419.2156065,115831722.52642706,0.0,0.0,457433468.03708136,0.17181305252135737
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,14366146.115423925,46025664.44639315,0.0,21221933.707785837,1193019.018724183,448578550.9580119,0.05235213028343516
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,3,0,65780790.76450623,76888017.63424785,115831722.52642706,616730.4677711044,0.0,426018239.8498533,0.19908521604593976
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,4,0,0,0,0,0,0,96183722.50032118,22362104.17506173,0.0,90359759.02316809,0.0,222765606.04373467,0.01841320268398727
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,61080277.45667305,23825074.219570965,0.0,39118884.431424245,21970356.694652453,295269247.29480445,0.014920312715261595
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,64972098.1593886,136995633.79126185,115831722.52642706,734849.7828411818,0.0,461344618.5246298,0.06568876809283479
0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,0,0,0,48679634.01247279,110251279.23009814,0.0,3246673.097925163,0.0,387645347.69181246,0.10556509593125538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,7,5,1,0,0,0,0,0,90136140.17319143,22362104.17506173,0.0,90359759.02316809,0.0,241050983.12649813,0.01841320268398727
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,3,0,0,4,0,0,0,3,44272057.71134131,10894941.154144209,0.0,10650820.299171273,1647710.3515413688,405444289.7580561,0.0034701929876045025
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,23805182.823185064,39928595.71813567,0.0,26838156.739402186,7339709.825065628,372853455.2823508,0.06872867779135772
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,62911857.63529086,41245503.469509035,0.0,10650820.299171273,1647710.3515413688,314626169.05855787,0.052627228875274684
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,14367469.526379675,14367469.526379675,0.0,13464254.976513896,1193019.018724183,473758197.51510876,0.006952559925049716
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,3,0,0,0,7,0,0,0,0,3,0,0,0,75257512.6013324,69554696.7846148,0.0,0.0,1424505.179375089,436905397.4094244,0.05357715352240168
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,85201952.19194826,12210446.537571963,0.0,6267230.617374091,0.0,442082376.0497471,0.05835890008502037
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,4,0,0,0,62911857.63529086,44271093.98432614,0.0,11623293.050294288,1647710.3515413688,279503310.0225408,0.04709566750090676
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,4,1,0,0,3,0,0,0,49030831.67377949,71121648.29373835,0.0,16775881.327935986,0.0,354212272.10933435,0.05001494651613426
0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,0,0,0,3,71648114.99775033,41430960.8838456,0.0,9943465.065804426,0.0,386870115.32269895,0.01536846892205937
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,25656654.398188785,41245503.469509035,0.0,26627050.74792818,1647710.3515413688,336935081.4227556,0.07646004705664544
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,68996858.54389808,45560758.58359267,0.0,10419779.560064122,13996607.479627062,384003450.40702796,0.08624312968136359
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16804311.762581382,16804311.762581382,0.0,26838156.739402186,7339709.825065628,401665229.7637719,0.09442400925418964
0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,54374487.507549495,23674487.507549495,0.0,6493346.195850326,0.0,442407158.9255265,0.15981074979891582
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,7,0,0,0,0,3,0,0,0,5,93053948.80361183,25624697.776906326,0.0,10650820.299171273,823855.1757706844,333497144.41663265,0.02943474960644083
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,8,0,64672996.64768109,136577352.6455435,115831722.52642706,1189185.742959352,0.0,394252497.5892871,0.01681448172766206
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,7,0,3,0,0,0,1,107059703.9241208,8934141.88361113,0.0,15524814.533418324,0.0,275597271.3696804,0.003927174555924171
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,64672062.931375295,136576578.25762814,138525835.5994886,1189185.742959352,0.0,360345324.8651215,0.06146048116761285
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,64671184.13955808,92380636.47505635,115831722.52642706,2378371.485918704,0.0,347625373.35653067,0.14096464114701412
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,2,0,4,0,0,0,0,0,6,3,3,0,0,0,0,64701897.52126917,12182553.280085439,0.0,15524814.533418324,0.0,426297266.14836806,0.04440977492044419
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29510918.698400825,29510918.698400825,0.0,38812036.33354581,9314410.639195738,339005078.7494087,0.02140323512387309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,7,0,0,0,0,0,0,0,0,0,98076991.64502443,22362104.17506173,0.0,90359759.02316809,0.0,212044243.5600137,0.01841320268398727
